Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Harvey Carignan,5/18/1927,United States,1949-1973,5,5,Carignan raped and beat four young women to death between 1972 and 1973. He escaped hanging for a 1949 killing due to a technicality that claimed his confession was unlawfully obtained. The Supreme Court overruled Carignan’s death sentence due to the officers’ violations of the McNabb rule. Harvey Carignan (Prisoner AZ935 ) served a sentence at the Alcatraz Federal Penitentiary between 1951 and 1960.,Rapist,"The Want-Ad Killer, Harv the hammer"
Mario Normore,4/23/1991,United States,2017,4,4,"Normore is the number one suspect in a series of four murders in 2017. Normore is supected of killing four victims between July and October of 2017. He was arrested in 2017 on nine complaints of robbery with a dangerous weapon. According to court documents, a witness who personally knows Normore identified him during one of the robberies. ",,"Chief, Butler J. Moe"
Lee Roy Martin,4/25/1937,United States,1966-1967,3,3,"Martin killed two women and two young girls in South Carolina in 1967 and 1968. Martin raped and strangled his victims, multiple victims had cigarette burns and at least one victim was stabbed to death. He was convicted on four charges of first-degree murder and received four life terms. Lee Roy Martin was stabbed to death by fellow inmate, Kenneth Rumsey, while incarcerated at Central Correctional Institution in Columbia in 1972.","Rapist, Strangler",The Gaffney Strangler
Paul Rowles,4/28/1948,United States,1972-1992,2,3,"An American serial killer known as the prime suspect in the disappearance of Tiffany Sessions. Tiffany Sessions is a missing person from Tampa, Florida, who was last seen on February 9, 1989. As of 2014, police believed that Rowles was responsible for Sessions' disappearance and murder. In 1976, Rowles was sentenced to life in prison, he was later released in 1985. In 1994, Rowles was sentenced to nineteen years in prison for the kidnapping and sexual assault of a Clearwater girl. In 2013, Paul Rowles died from complications with lung cancer while still in prison.","Rapist, Strangler",
Daniel Conahan,5/11/1954,United States,1994-1996,1,12,"Conahan targeted mostly homosexual men in Charlotte County, Florida area between 1994 and 1996. Conahan surgically removed one victims genitals after death. He would lured victims, some by offering them money to pose nude in bondage photographs. Conahan was convicted of only one murder but has been linked to over a dozen murders.","Rapist, Torturer, Strangler",Hog Trails Killer
Gerald Gallego,7/17/1946,United States,1978-1980,10,10,"Gerald Gallego (Gerald Armond Gallego) an American serial killer along with his wife Charlene Gallego, were known as The Love Slave Killers and The Gallego Sex Slave Killers. Together they murdered ten victims in Sacramento, California between 1978 and 1980. Some of their victims were kept as sex slaves for the couple before they were murdered. They were known to beat, rape strangle and shoot their victims.","Rapist, Strangler","One of The Love Slave Killers, The Gallego Sex Slaves Killers"
Charlene Gallego,10/10/1956,United States,1978-1980,10,10,"Charlene Gallego (Charlene Adell Gallego) (born Charlene Adell Williams) an American serial killer along with her husband Gerald Gallego, were known as The Love Slave Killers and The Gallego Sex Slave Killers. Together they murdered ten victims in Sacramento, California between 1978 and 1980. Some of their victims were kept as sex slaves for the couple before they were murdered. They were known to beat, rape strangle and shoot their victims. They were arrested in 1980 when a witness reported the couples license plate number to authorities. Charlene testified against her husband for a plea deal that reduced her prison sentence to sixteen years and eight months. In 1997, Charlene Gallego completed her sentence and was released.","Rapist, Strangler","One of The Love Slave Killers, The Gallego Sex Slaves Killers"
Sean Vincent Gillis,6/24/1962,United States,1994-2003,8,8,"The Other Baton Rouge Killer nickname is used because Derrick Todd Lee is known as the Baton Rouge Serial Killer. Gillis kidnapped, raped and mutilated the corpses of women between 1994 and 2003. The three victims to which Gillis has been linked by DNA, were all beaten, strangled mutilated and found in remote areas of the Parish. Gillis confessed to committing other unsolved local murders. After his arrest, police found digital pictures on his computer one of a victims mutilated body, as well as photos of a corpse in the trunk of his car.","Rapist, Stalker, Strangler",The Other Baton Rouge Killer
Daniel Blank,6/28/1962,United States,1996-1997,6,6,"He has a learning disability that hampers his verbal abilities and understanding of abstract concepts. Blank was diagnosed as having schizo-affective paranoia disorder. He confessed to six murders, including a double bludgeoning of an elderly couple.",,
Rodney Halbower,6/27/1948,United States,1976,5,5,"The Gypsy Hill killings refers to five unsolved killings, of young women in San Mateo County, California during early 1976. In 2014, the FBI named Halbower as a person of interest in the Gypsy Hill killings; as of 2015, he was charged with two of the murders based on DNA taken from cigarette butts saved from the scene of a 1976 killing. Halbower is already in prison serving a life sentence with charges of attempted murder, assault, rape and robbery",Rapist,San Mateo slasher
Metod Trobec,7/6/1948,Slovenia,1976-1978,5,5,"Trobec would rape murder and cremate his victims. He was known to strangle at least one of his victims and multiple victims had their corpses cremated in a wood oven. Trobec was sentenced to death which was later commuted to twenty years in prison. While in prison, Trobec attempted to murder two other inmates adding fifteen years to his sentence. He spent twenty-seven years in prison. In 2006, Metod Trobec committed suicide in his cell at Dob pri Mirni Prison in Slovenia.","Rapist, Strangler",The Monster of Gorejne Vasi
Archibald Hall,7/17/1924,United Kingdom,1977,5,5,"A Scottish serial killer and thief, called ""The Monster Butler"". Died in prison in 2002.",,"Roy Fontaine, The Monster Butler, Killer Butler"
Anna Marie Hahn,7/7/1906,United States,1933-1937,5,5,"Hahn was a German-born murder-for-profit killer who poisoned five elderly men. Anna Marie Hahn was executed by the electric chair at Ohio State Penitentiary in 1938. Anna Marie Hahn is the first woman to die in the electric chair in the state of Ohio. She was buried in The north section, Holy Cross, of Mount Calvary Cemetery in Columbus, Ohio.",,"Arsenic Anna, The Blonde Borgia, the Angel of Mercy"
Thomas Dillon,7/9/1950,United States,1973-1990,5,5,"Thomas Dillon (Thomas Lee Dillon) an American serial killer who shot five men in southeastern Ohio: one while jogging, two deer hunting and two fishing. On July 12, 1993, Dillon pleaded guilty to the five murders, sentenced to 165 years to life.",,
Elisabeth Wiese,7/1/1853,Germany,1902-1903,5,5,"Known as the ""Angel Maker of St. Pauli"" due to the fact that she lived in St. Pauli, Hamburg at the time the gruesome and cold-blooded murders of five children, one of her victims being the son of her own daughter Paula Berkefeld. Married Heinrich Wiese in 1888 later tried to slit his throat with a razor, was sent to prison but later released. Wiese poisoned her grandchild and four others with morphine and burned their bodies in a stove in 1902 and 1903. On October 10, 1904 Wiese was sentenced to death by guillotine.",,Angel Maker of St. Pauli
Heinrich Pommerenke,7/6/1937,Germany,1959,4,4,"Pommerenke killed four women. Pommerenke confessed to a total of sixty-five charges, including the four murders, seven attempted murders, two rapes, twenty-five attempted rapes, six robberies, ten burglaries and six thefts.",,"Ungeheuer vom Schwarzwald, The Beast of the Black Forest"
Anthony Allen Shore,7/25/1962,United States,1986-1995,4,5,"Shore is responsible for the murders of one woman and four young girls. He was convicted of strangling a woman with an unusual ligature in 1992 and confessed to killing three girls including two with the same modus operandi. Shore was also convicted of molesting his two daughters Tiffany and Amber, as a result he was required to provide police with a DNA sample. Detectives pulled Carmen Del Estrada's case from the cold files and tested DNA evidence from underneath Carmen's fingernails.","Pedophile, Rapist, Strangler, Stalker, Incest",The Tourniquet Killer
Leonard Fraser,6/27/1951,Australia,1998-1999,4,7,Leonard Fraser (Leonard John Fraser) an Australian serial killer rapist and pedophile known as The Rockhampton rapist and The Bad Seed. Fraser murdered four women in Rockhampton between 1998 and 1999.,"Rapist, Strangler, Pedophile","The Rockhampton Rapist, The Bad Seed"
Matthew James Harris,6/30/1968,Australia,1998,3,3,"Matthew James Harris an Australian serial killer who strangled three people in and around Wagga Wagga, New South Wales, Australia in October and November 1998. Victims were a friend's brother, a female friend and a male neighbor of Harris. One victim was forced in to a bath with Harris, as he strangled her and held her under water for up to four minutes at a time. Harris overdosed twice on heroin a few days after his last murder and again in the early hours of December 1st 1998, which lead to his arrest.",Strangler,
Charles Schmid,7/8/1942,United States,1964-1965,3,3,"Schmid murdered three teenage girls in 1964 and 1965 burying their bodies in the desert. He was found guilty of murder and sentenced to death in 1966, commuted to fifty years in prison in 1971. In 1975, Schmid was stabbed by two fellow prisoners at Arizona State Prison, the attack lost Schmid an eye and a kidney. He died on March 30th 1975 at Maricopa County Hospital as a result of wounds suffered in the prison attack.","Rapist, Strangler",The Pied Piper of Tucson
